Education_Level,Gender,Field_of_Study,Domestic_or_International,Work_Status,Education_Mode,Online_Courses_Last_Year,Online_Influence_Factors,Offline_Influence_Factors,Online_Effectiveness,Online_Challenges,Online_Student_Engagement,Online_Material_Satisfaction,Online_Collaboration,Offline_Benefits,Offline_Resources_Satisfaction,Offline_Classroom_Engagement,Offline_Motivation,Better_Grades_Mode,Job_Preparation_Mode
Graduate,Female,Information & Technology,Foreign (International) student,Part-time,Offline (In-person),No,Avoiding travel/commute time,"Quality of education, Face-to-face interaction with instructors and peers",2,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear",Rarely,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Satisfied,Average,Strongly agree,Offline,Offline
High School,Male,Business,Foreign (International) student,Not working,Offline (In-person),Yes,"Flexibility in schedule, Cost, Quality of education, Interaction with peers/instructors","Flexibility in schedule, Cost, Convenience of location, Quality of education, Availability of courses",3,"Lack of interaction with peers, Difficulty staying motivated, Lack of access to course materials, Doubts remain unclear",Rarely,Unsatisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, More structured schedule",Neutral,Good,Agree,Offline,Offline
Graduate,Male,Economics,Foreign (International) student,Full-time,Offline (In-person),Yes,"Convenience of location, Quality of education","Flexibility in schedule, Convenience of location, Quality of education",4,"Poor internet connection, Lack of interaction with peers, Doubts remain unclear",Sometimes,Neutral,Yes,Convince ,Neutral,Good,Strongly agree,Online,Online
Graduate,Female,Business,Foreign (International) student,Part-time,Online,Yes,"Flexibility in schedule, Convenience of location, Interaction with peers/instructors, Avoiding travel/commute time",Availability of courses,5,"Technical difficulties, Lack of access to course materials",Very often,Very satisfied,Yes,"Better access to facilities (labs, libraries, etc.)",Unsatisfied,Poor,Strongly disagree,Online,Online
Graduate,Female,Linguistics,Foreign (International) student,Not working,Offline (In-person),No,Avoiding travel/commute time,"Quality of education, Face-to-face interaction with instructors and peers, Availability of courses",3,"Lack of interaction with peers, Difficulty staying motivated",Never,Neutral,No,"Better interaction with instructors, Easier to focus",Very satisfied,Good,Strongly agree,Offline,Offline
Graduate,Male,Business,Foreign (International) student,Part-time,Online,Yes,"Flexibility in schedule, Cost, Convenience of location, Avoiding travel/commute time","Flexibility in schedule, Quality of education, Face-to-face interaction with instructors and peers",5,"Poor internet connection, Technical difficulties",Sometimes,Neutral,No,"Better interaction with instructors, Better access to facilities (labs, libraries, etc.)",Neutral,Good,Agree,Online,Online
Graduate,Female,Arts,Foreign (International) student,Not working,Offline (In-person),No,"Flexibility in schedule, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers",1,"Lack of interaction with peers, Doubts remain unclear",Never,Very unsatisfied,No,"More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Satisfied,Good,Agree,Offline,Offline
Undergraduate,Male,Hospitality,Domestic student,Part-time,Offline (In-person),No,"Quality of education, Interaction with peers/instructors","Flexibility in schedule, Quality of education, Face-to-face interaction with instructors and peers",1,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials",Never,Very unsatisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule",Very unsatisfied,Excellent,Strongly disagree,Offline,Offline
Undergraduate,Male,Arts,Foreign (International) student,Part-time,Offline (In-person),No,"Flexibility in schedule, Convenience of location","Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",3,Difficulty staying motivated,Never,Neutral,Yes,"Better access to facilities (labs, libraries, etc.)",Satisfied,Excellent,Strongly agree,Offline,Online
Graduate,Female,Information & Technology,Foreign (International) student,Not working,Offline (In-person),No,"Flexibility in schedule, Cost","Convenience of location, Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",1,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear",Rarely,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Satisfied,Good,Strongly agree,Offline,Offline
Graduate,Male,Business,Foreign (International) student,Part-time,Online,No,"Flexibility in schedule, Convenience of location, Availability of courses","Quality of education, Face-to-face interaction with instructors and peers, Availability of courses",4,"Lack of interaction with peers, Technical difficulties",Very often,Satisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.)",Very satisfied,Excellent,Agree,Offline,Offline
Graduate,Male,Business,Foreign (International) student,Not working,Offline (In-person),Yes,Forced on me by the school,Face-to-face interaction with instructors and peers,1,Difficulty staying motivated,Rarely,Neutral,No,More engaging learning environment,Very satisfied,Excellent,Strongly agree,Offline,Offline
Undergraduate,Female,Business,Foreign (International) student,Part-time,Offline (In-person),No,"Flexibility in schedule, Convenience of location, Interaction with peers/instructors, Availability of courses, Avoiding travel/commute time","Flexibility in schedule, Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",4,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear",Sometimes,Neutral,Yes,"Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Very satisfied,Excellent,Strongly agree,Offline,Offline
Graduate,Male,Engineering,Domestic student,Full-time,Offline (In-person),No,"Convenience of location, Quality of education, Interaction with peers/instructors","Quality of education, Availability of courses, Prefer in-person exams and assessments",4,"Difficulty staying motivated, Lack of access to course materials",Sometimes,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Satisfied,Good,Strongly agree,Offline,Offline
Graduate,Male,Engineering,Foreign (International) student,Full-time,Online,Yes,"Flexibility in schedule, Cost, Convenience of location, Quality of education, Interaction with peers/instructors, Availability of courses, Avoiding travel/commute time",Quality of education,5,Poor internet connection,Rarely,Satisfied,Yes,"Better access to facilities (labs, libraries, etc.)",Satisfied,Average,Disagree,Online,Online
Graduate,Female,Economics,Domestic student,Not working,Offline (In-person),Yes,"Flexibility in schedule, Convenience of location, Avoiding travel/commute time","Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",3,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear",Rarely,Neutral,No,"Better interaction with instructors, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Neutral,Good,Agree,Offline,Offline
Undergraduate,Female,Information & Technology,Foreign (International) student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Cost, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",3,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated",Rarely,Satisfied,No,"Better interaction with instructors, More engaging learning environment, Better access to facilities (labs, libraries, etc.), Doubt clarity",Satisfied,Good,Strongly agree,Offline,Offline
Graduate,Female,Medical,Foreign (International) student,Full-time,Offline (In-person),Yes,"Flexibility in schedule, Cost, Avoiding travel/commute time","Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",4,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated",Sometimes,Satisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule",Very satisfied,Excellent,Agree,Offline,Offline
Graduate,Male,Economics,Foreign (International) student,Part-time,Offline (In-person),No,"Flexibility in schedule, Availability of courses, Avoiding travel/commute time",Quality of education,5,"Poor internet connection, Technical difficulties, Doubts remain unclear",Sometimes,Very satisfied,No,"More engaging learning environment, Better access to facilities (labs, libraries, etc.)",Neutral,Excellent,Strongly agree,Online,Online
Undergraduate,Male,Science,Foreign (International) student,Not working,Online,Yes,Flexibility in schedule,Flexibility in schedule,5,Poor internet connection,Very often,Very satisfied,No,"Better access to facilities (labs, libraries, etc.)",Very satisfied,Excellent,Strongly agree,Online,Online
Graduate,Male,Economics,Foreign (International) student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Convenience of location, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers",3,"Lack of interaction with peers, Technical difficulties",Sometimes,Neutral,No,"Better interaction with instructors, More engaging learning environment, Doubt clarity",Satisfied,Good,Agree,Offline,Offline
Undergraduate,Female,Science,Foreign (International) student,Not working,Offline (In-person),Yes,"Flexibility in schedule, Cost, Convenience of location, Availability of courses","Quality of education, Face-to-face interaction with instructors and peers, Availability of courses",3,"Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Doubts remain unclear",Sometimes,Satisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.)",Very satisfied,Good,Strongly agree,Online,Offline
Graduate,Female,Information & Technology,Foreign (International) student,Not working,Offline (In-person),Yes,Avoiding travel/commute time,"Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",3,"Poor internet connection, Doubts remain unclear",Never,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), Doubt clarity",Very satisfied,Good,Agree,Offline,Offline
Graduate,Male,Information & Technology,Foreign (International) student,Part-time,Online,Yes,"Convenience of location, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Availability of courses",5,"Poor internet connection, Technical difficulties",Very often,Very satisfied,Yes,"Better interaction with instructors, Easier to focus, Doubt clarity",Very satisfied,Excellent,Strongly agree,Online,Online
Graduate,Male,Information & Technology,Foreign (International) student,Not working,Offline (In-person),No,"Flexibility in schedule, Cost, Convenience of location, Availability of courses, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",3,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear",Sometimes,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Satisfied,Good,Strongly agree,Offline,Offline
Graduate,Female,Business,Foreign (International) student,Not working,Offline (In-person),No,Quality of education,Prefer in-person exams and assessments,2,Lack of interaction with peers,Rarely,Neutral,No,More structured schedule,Neutral,Excellent,Neutral,Offline,Offline
Undergraduate,Female,Arts,Foreign (International) student,Part-time,Offline (In-person),Yes,Convenience of location,"Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",2,"Poor internet connection, Difficulty staying motivated, Technical difficulties",Sometimes,Satisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.)",Satisfied,Good,Agree,Offline,Offline
High School,Male,Arts,Foreign (International) student,Part-time,Online,Yes,"Flexibility in schedule, Cost, Convenience of location, Quality of education, Interaction with peers/instructors, Avoiding travel/commute time","Flexibility in schedule, Cost, Quality of education, Prefer in-person exams and assessments",4,"Poor internet connection, Difficulty staying motivated, Technical difficulties",Very often,Very satisfied,Yes,"Better interaction with instructors, Easier to focus, More engaging learning environment",Very satisfied,Good,Strongly agree,Online,Online
Undergraduate,Male,Business,Foreign (International) student,Full-time,Offline (In-person),Yes,"Flexibility in schedule, Availability of courses",Quality of education,3,"Difficulty staying motivated, Doubts remain unclear",Sometimes,Satisfied,Yes,More engaging learning environment,Very satisfied,Good,Agree,Offline,Offline
High School,Male,Medical,Domestic student,Full-time,Online,Yes,Cost,Convenience of location,4,Difficulty staying motivated,Sometimes,Satisfied,Yes,More engaging learning environment,Satisfied,Average,Agree,Offline,Online
Graduate,Male,Business,Foreign (International) student,Full-time,Online,Yes,"Flexibility in schedule, Cost, Quality of education, Availability of courses","Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",5,"Lack of interaction with peers, Difficulty staying motivated",Very often,Very satisfied,Yes,"Better access to facilities (labs, libraries, etc.)",Very satisfied,Excellent,Strongly agree,Online,Online
Undergraduate,Female,Business,Foreign (International) student,Part-time,Online,Yes,Avoiding travel/commute time,"Convenience of location, Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",4,Doubts remain unclear,Sometimes,Satisfied,No,"Better interaction with instructors, More engaging learning environment, Better access to facilities (labs, libraries, etc.)",Very satisfied,Excellent,Neutral,Online,Offline
Undergraduate,Female,Medical,Foreign (International) student,Not working,Online,Yes,"Flexibility in schedule, Convenience of location, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers",4,"Difficulty staying motivated, Doubts remain unclear",Rarely,Satisfied,Yes,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), Doubt clarity",Neutral,Good,Agree,Offline,Offline
Undergraduate,Male,Business,Domestic student,Part-time,Offline (In-person),Yes,"Quality of education, Interaction with peers/instructors","Quality of education, Face-to-face interaction with instructors and peers",1,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear",Never,Very unsatisfied,No,I don’t think there are any ,Satisfied,Good,Agree,Offline,Offline
Graduate,Male,Engineering,Foreign (International) student,Not working,Offline (In-person),No,Not like online,"Flexibility in schedule, Convenience of location, Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",1,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear",Never,Very unsatisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Very satisfied,Excellent,Strongly agree,Offline,Offline
Undergraduate,Male,Sports And Recreation Management,Domestic student,Full-time,Offline (In-person),Yes,Quality of education,"Convenience of location, Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",3,"Lack of interaction with peers, Difficulty staying motivated",Rarely,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, More structured schedule",Satisfied,Average,Agree,Offline,Offline
Undergraduate,Male,Engineering,Foreign (International) student,Not working,Offline (In-person),No,"Flexibility in schedule, Cost, Convenience of location, Quality of education","Cost, Convenience of location, Quality of education",3,"Poor internet connection, Technical difficulties, Lack of access to course materials",Rarely,Satisfied,Yes,Better interaction with instructors,Satisfied,Good,Agree,Offline,Offline
Graduate,Male,Sports And Recreation Management,Domestic student,Part-time,Offline (In-person),Yes,Interaction with peers/instructors,Face-to-face interaction with instructors and peers,3,Lack of interaction with peers,Sometimes,Satisfied,Yes,"Easier to focus, More structured schedule",Neutral,Good,Strongly agree,Offline,Offline
Undergraduate,Male,Business,Foreign (International) student,Part-time,Online,Yes,Flexibility in schedule,Flexibility in schedule,5,Difficulty staying motivated,Never,Very satisfied,Yes,"Better access to facilities (labs, libraries, etc.)",Neutral,Very poor,Agree,Offline,Online
Undergraduate,Male,Engineering,Foreign (International) student,Part-time,Offline (In-person),Yes,Flexibility in schedule,Prefer in-person exams and assessments,3,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear",Rarely,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule",Very satisfied,Excellent,Strongly agree,Offline,Offline
Undergraduate,Male,Business,Foreign (International) student,Not working,Online,No,Flexibility in schedule,"Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",5,Doubts remain unclear,Sometimes,Satisfied,Yes,"Easier to focus, More engaging learning environment, More structured schedule, ",Very satisfied,Excellent,Strongly agree,Offline,Offline
Graduate,Male,Engineering,Foreign (International) student,Part-time,Online,Yes,"Flexibility in schedule, Cost, Convenience of location, Quality of education, Interaction with peers/instructors, Availability of courses, Avoiding travel/commute time",Cost,5,Nothing ,Very often,Very satisfied,Yes,"Better access to facilities (labs, libraries, etc.)",Satisfied,Good,Neutral,Online,Online
High School,Female,Medical,Foreign (International) student,Part-time,Online,Yes,"Flexibility in schedule, Convenience of location, Avoiding travel/commute time",Face-to-face interaction with instructors and peers,2,Doubts remain unclear,Sometimes,Satisfied,Yes,Easier to focus,Satisfied,Good,Neutral,Online,Online
Graduate,Male,Sports And Recreation Management,Domestic student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Convenience of location, Availability of courses, Avoiding travel/commute time","Convenience of location, Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",4,"Lack of interaction with peers, Difficulty staying motivated, Technical difficulties",Sometimes,Satisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule",Very satisfied,Excellent,Strongly agree,Offline,Offline
Graduate,Female,Business,Foreign (International) student,Part-time,Offline (In-person),No,"Flexibility in schedule, Convenience of location, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",4,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear",Rarely,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Very satisfied,Average,Strongly agree,Offline,Online
Graduate,Male,Business,Foreign (International) student,Not working,Online,Yes,"Flexibility in schedule, Convenience of location, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",4,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear",Rarely,Very satisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Very satisfied,Average,Strongly agree,Offline,Online
High School,Prefer not to say,Business,Domestic student,Full-time,Offline (In-person),No,"Cost, Convenience of location","Quality of education, Face-to-face interaction with instructors and peers, Availability of courses",2,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties",Rarely,Unsatisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule",Very satisfied,Excellent,Strongly agree,Offline,Offline
High School,Male,Information & Technology,Foreign (International) student,Full-time,Offline (In-person),No,"Flexibility in schedule, Cost, Quality of education, Interaction with peers/instructors","Flexibility in schedule, Cost, Convenience of location, Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",3,"Lack of interaction with peers, Difficulty staying motivated, Doubts remain unclear",Sometimes,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Very satisfied,Good,Agree,Offline,Offline
Graduate,Male,Engineering,Foreign (International) student,Part-time,Online,Yes,"Flexibility in schedule, Convenience of location, Quality of education, Interaction with peers/instructors, Availability of courses, Avoiding travel/commute time",Cost,5,Lack of interaction with peers,Very often,Very satisfied,No,"Better access to facilities (labs, libraries, etc.)",Satisfied,Good,Neutral,Online,Online
High School,Male,Policing,Domestic student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",2,"Lack of interaction with peers, Difficulty staying motivated",Rarely,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment",Very satisfied,Good,Agree,Offline,Offline
Undergraduate,Male,Arts,Domestic student,Full-time,Offline (In-person),No,"Flexibility in schedule, Convenience of location","Flexibility in schedule, Convenience of location, Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",4,"Technical difficulties, Lack of access to course materials, Doubts remain unclear",Very often,Neutral,Yes,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule",Satisfied,Good,Strongly agree,Offline,Offline
High School,Male,Engineering,Domestic student,Not working,Offline (In-person),No,Avoiding travel/commute time,"Quality of education, Availability of courses",3,Poor internet connection,Sometimes,Neutral,Yes,More structured schedule,Very satisfied,Excellent,Strongly agree,Offline,Offline
Undergraduate,Female,Science,Foreign (International) student,Part-time,Online,Yes,Avoiding travel/commute time,Quality of education,3,Lack of interaction with peers,Never,Neutral,Yes,"Easier to focus, More engaging learning environment",Very satisfied,Excellent,Strongly agree,Online,Offline
Graduate,Female,Medical,Domestic student,Full-time,Offline (In-person),Yes,Quality of education,Availability of courses,3,Difficulty staying motivated,Rarely,Neutral,Yes,More engaging learning environment,Neutral,Average,Neutral,Online,Online
Graduate,Female,Medical,Domestic student,Full-time,Offline (In-person),No,"Flexibility in schedule, Cost",Availability of courses,3,Technical difficulties,Very often,Very satisfied,No,Easier to focus,Very satisfied,Excellent,Strongly agree,Online,Online
Undergraduate,Female,Medical,Domestic student,Part-time,Online,Yes,"Flexibility in schedule, Cost, Convenience of location, Quality of education, Interaction with peers/instructors, Availability of courses, Avoiding travel/commute time",Face-to-face interaction with instructors and peers,5,Poor internet connection,Never,Neutral,Yes,More engaging learning environment,Unsatisfied,Excellent,Agree,Online,Online
Undergraduate,Female,Medical,Domestic student,Not working,Offline (In-person),No,"Interaction with peers/instructors, Availability of courses","Flexibility in schedule, Prefer in-person exams and assessments",5,Lack of interaction with peers,Never,Neutral,No,Doubt clarity,Neutral,Average,Neutral,Online,Online
Graduate,Female,Paralegal,Domestic student,Full-time,Online,No,Flexibility in schedule,Availability of courses,5,All good,Very often,Very satisfied,Yes,Easier to focus,Very satisfied,Excellent,Strongly agree,Online,Online
High School,Female,Business,Domestic student,Not working,Offline (In-person),No,"Flexibility in schedule, Quality of education, Availability of courses","Flexibility in schedule, Quality of education, Availability of courses",2,"Poor internet connection, Difficulty staying motivated",Sometimes,Neutral,No,"Better interaction with instructors, Easier to focus",Satisfied,Average,Strongly disagree,Offline,Offline
Undergraduate,Female,Medical,Domestic student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Quality of education, Availability of courses","Convenience of location, Face-to-face interaction with instructors and peers",3,"Difficulty staying motivated, Doubts remain unclear",Rarely,Unsatisfied,No,"Better interaction with instructors, Doubt clarity",Satisfied,Average,Strongly agree,Online,Offline
Undergraduate,Male,Information & Technology,Foreign (International) student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Convenience of location, Quality of education, Availability of courses",Flexibility in schedule,3,"Difficulty staying motivated, Doubts remain unclear",Rarely,Neutral,No,"More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule",Satisfied,Good,Agree,Offline,Offline
Graduate,Male,Business,Domestic student,Full-time,Offline (In-person),Yes,"Flexibility in schedule, Cost, Convenience of location, Quality of education, Interaction with peers/instructors, Availability of courses, Avoiding travel/commute time","Flexibility in schedule, Cost, Convenience of location, Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",3,"Lack of interaction with peers, Difficulty staying motivated, Doubts remain unclear",Very often,Satisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule",Satisfied,Excellent,Neutral,Offline,Offline
Undergraduate,Male,Business,Foreign (International) student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Cost, Quality of education, Availability of courses, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers",2,"Lack of interaction with peers, Difficulty staying motivated, Doubts remain unclear",Rarely,Neutral,Yes,"Better interaction with instructors, More engaging learning environment, Better access to facilities (labs, libraries, etc.)",Very satisfied,Excellent,Strongly agree,Online,Offline
Undergraduate,Male,Business,Foreign (International) student,Not working,Offline (In-person),Yes,"Convenience of location, Avoiding travel/commute time","Convenience of location, Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",3,"Lack of interaction with peers, Technical difficulties, Doubts remain unclear",Never,Neutral,Yes,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Very satisfied,Good,Strongly agree,Offline,Offline
Undergraduate,Male,Information & Technology,Foreign (International) student,Part-time,Offline (In-person),No,"Flexibility in schedule, Avoiding travel/commute time","Cost, Convenience of location, Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",1,"Technical difficulties, Lack of access to course materials, Doubts remain unclear",Sometimes,Neutral,No,More structured schedule,Very satisfied,Excellent,Agree,Offline,Offline
Graduate,Female,Business,Foreign (International) student,Part-time,Offline (In-person),No,"Cost, Convenience of location, Availability of courses, Avoiding travel/commute time","Flexibility in schedule, Quality of education, Face-to-face interaction with instructors and peers",5,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties",Rarely,Satisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), Doubt clarity",Satisfied,Excellent,Strongly agree,Offline,Offline
Graduate,Male,Information & Technology,Foreign (International) student,Not working,Offline (In-person),No,Cost,"Quality of education, Face-to-face interaction with instructors and peers",3,"Lack of interaction with peers, Technical difficulties",Sometimes,Satisfied,No,"Better interaction with instructors, Easier to focus, More structured schedule",Satisfied,Good,Agree,Offline,Offline
Graduate,Male,Information & Technology,Foreign (International) student,Not working,Offline (In-person),No,"Cost, Convenience of location, Quality of education, Interaction with peers/instructors, Availability of courses, Avoiding travel/commute time","Cost, Convenience of location, Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",1,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties",Sometimes,Unsatisfied,Yes,"Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Unsatisfied,Good,Neutral,Offline,Offline
Undergraduate,Male,Arts,Foreign (International) student,Part-time,Online,Yes,"Flexibility in schedule, Cost, Avoiding travel/commute time",Convenience of location,4,"Lack of interaction with peers, Technical difficulties",Sometimes,Satisfied,Yes,Easier to focus,Satisfied,Good,Agree,Online,Online
Undergraduate,Female,Economics,Foreign (International) student,Part-time,Offline (In-person),No,"Cost, Interaction with peers/instructors, Availability of courses","Convenience of location, Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",3,"Difficulty staying motivated, Technical difficulties, Lack of access to course materials",Sometimes,Satisfied,No,"Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule",Satisfied,Good,Agree,Offline,Offline
Graduate,Male,Engineering,Foreign (International) student,Part-time,Offline (In-person),No,"Flexibility in schedule, Convenience of location, Availability of courses, Avoiding travel/commute time","Cost, Quality of education, Face-to-face interaction with instructors and peers",3,"Poor internet connection, Lack of interaction with peers, Technical difficulties, Doubts remain unclear",Sometimes,Neutral,No,"Easier to focus, More engaging learning environment, More structured schedule",Very satisfied,Good,Agree,Offline,Offline
Undergraduate,Male,Economics,Foreign (International) student,Full-time,Online,Yes,"Flexibility in schedule, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",3,"Lack of interaction with peers, Lack of access to course materials",Sometimes,Satisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment",Satisfied,Good,Agree,Offline,Offline
Graduate,Male,Engineering,Foreign (International) student,Part-time,Online,Yes,"Flexibility in schedule, Convenience of location, Availability of courses, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",5,Difficulty staying motivated,Sometimes,Satisfied,Yes,"Easier to focus, Better access to facilities (labs, libraries, etc.), Doubt clarity",Satisfied,Good,Agree,Offline,Offline
